steps	episodes	elapsed	mean	median	stdev	max	min	average_q1	average_q2	average_q_func1_loss	average_q_func2_loss	average_policy_loss	policy_n_updates	q_func_n_updates
2000	10	13.277974843978882	-39.54984403189297	-37.66512885566481	8.221103308588077	-28.87985631493863	-57.25744650043754	nan	nan	nan	nan	nan	0	0
4000	20	25.99124765396118	-44.29462254735096	-52.261555779501506	30.405428278276915	39.477885574054675	-67.0828335201975	nan	nan	nan	nan	nan	0	0
6000	30	38.99658703804016	-46.892729210223706	-47.81288240668876	10.627994335353616	-32.977965330052555	-69.48669851267012	nan	nan	nan	nan	nan	0	0
8000	40	52.050262212753296	-43.17654423487078	-46.324475156961796	14.71117126046522	-18.659901157480164	-62.33877490163533	nan	nan	nan	nan	nan	0	0
10000	50	64.98377847671509	-33.72094111606117	-37.98561440775113	27.314771145471138	37.36613663698971	-61.37052276306077	0.038457043	0.08754897	0.11911700665950775	0.15409281849861145	nan	0	1
12000	60	94.71811890602112	-41.351907219956644	-39.58454627541708	14.741900111516136	-22.95156838052967	-71.01925974734644	-1.5651215	-1.5651665	0.0015392406930914149	0.0019283881969749928	1.4606806921958924	1000	2001
14072	71	125.26774597167969	-23.564315883855087	-33.07500065853144	24.881476119669987	41.21472827522963	-43.30355391640734	-2.2835908	-2.2790694	0.2496618513809517	0.2534140697401017	2.1568555176258086	2036	4073
16072	81	155.21549582481384	-18.121606943634188	-30.899736511206225	29.682659561234555	39.78147289263156	-40.642357732828444	-2.8441627	-2.8468246	0.7607471878640354	0.7609481726679951	2.6514361333847045	3036	6073
18030	91	181.4902424812317	-23.738295637413984	-30.304317034644388	20.41874397848872	32.790538377164	-35.55858379622516	-3.2512772	-3.2525601	0.6767314378474839	0.6724198078340851	3.009658651351929	4015	8031
20174	102	212.78219747543335	-28.62245870613028	-30.271702539470304	10.031661332090376	-8.70553661546913	-39.96798919787205	-3.3532948	-3.359281	0.4501012792205438	0.45017174306325614	3.303623290061951	5087	10175
22132	112	242.64314937591553	-32.62088561688668	-33.56079317289375	10.131257856289867	-12.956601094907956	-48.784373232756415	-3.634542	-3.6343384	0.7757794372085481	0.767554979948327	3.5116362619400023	6066	12133
24132	122	272.57369589805603	-26.784311636831628	-30.872674159308666	22.943622545302436	34.71902210572773	-46.879147797335236	-3.7894843	-3.7957253	1.0057565252110363	1.0081382462289183	3.6555449867248537	7066	14133
26132	132	300.87508749961853	-22.591648170452356	-28.90048117428566	21.90913715353675	37.50233600454378	-40.5702886919424	-3.8462229	-3.8520129	0.970449310047552	0.9674626651685685	3.7862489318847654	8066	16133
28050	143	328.1515483856201	-28.86949051631949	-28.629002374060484	7.7546129310762835	-18.863369505612116	-41.0690826580185	-4.262292	-4.268289	1.305633223131299	1.3142312054336072	3.844515960216522	9025	18051
30121	154	358.35275173187256	-22.027698851625274	-27.60980947724112	24.061496767778742	40.23544206435311	-42.08920115820668	-4.0988607	-4.1146297	1.3773217862471938	1.3740060038678348	4.062055099010467	10061	20122
32123	165	386.6983108520508	-17.465048761478304	-26.971875868213875	30.635027507636927	39.06966188128322	-46.78037694361097	-3.7844663	-3.790211	0.2599775935523212	0.25861147755756975	3.9591642475128173	11062	22124
34041	175	415.5468566417694	-26.517462155425097	-21.007988264633713	12.346589649926212	-13.900861072176362	-47.17346998281157	-4.3211083	-4.29886	1.1909156783670187	1.1883908413536846	3.8788805031776428	12021	24042
36031	186	443.5315103530884	1.3987524075737061	7.80614759022814	35.95160009440402	39.34636524913655	-42.35871635706897	-3.9861674	-3.9839869	0.83585772363469	0.8474469542130828	3.856914699077606	13016	26032
38106	197	472.32883167266846	-4.972935406118265	-18.278340835188647	38.88999504843105	42.03771293580693	-49.262183746721576	-3.5202384	-3.5238838	0.45256026320159437	0.4582783406600356	3.7795155441761015	14053	28107
40066	209	499.8454794883728	-15.209212967569913	-26.331835098396862	27.258423116814097	34.431941606350335	-39.23511584126044	-3.5422716	-3.541235	1.2903151692077517	1.2853403779119252	3.4421347403526306	15033	30067
42167	221	530.4388091564178	-26.010518944801518	-31.972527431236156	21.936127615502297	34.16464949393044	-41.62115590212253	-3.8101995	-3.8274772	1.001697809509933	0.9865539069846272	3.358721066713333	16084	32168
44061	231	555.8347215652466	-17.7589948145406	-27.1051110900617	27.28687554741172	29.85085144487624	-49.084401017925394	-3.6461277	-3.6566808	1.8844421155005693	1.875398623496294	3.2067024266719817	17031	34062
46072	245	585.107536315918	-10.895746448812913	-18.36088727885808	25.429405997681517	37.062875885576574	-33.38016001482011	-2.0295844	-2.0283127	0.7291492567583918	0.7363018801808358	2.4502778560854495	18036	36073
48142	256	614.1995661258698	-8.90760601256081	-19.362664938810717	31.90393235567266	37.44310163277143	-40.047679978588995	-3.3608012	-3.3422413	0.651171106994152	0.646883050724864	2.335435418421403	19071	38143
50147	267	640.8100981712341	-0.09967809415170237	1.0039912167585978	39.560737744044886	47.06683635639422	-48.545492411988064	-2.5457177	-2.5378916	0.5178214718401432	0.5198896837979555	1.7810921542346478	20074	40148
52112	279	668.0867528915405	8.742650279392931	32.68857906609186	34.774387828341105	39.48118642588112	-45.09887723374817	-1.7109766	-1.7175199	0.5948475901037454	0.5790623147785664	1.519817364383489	21056	42113
54033	291	694.9773771762848	-7.847292374158766	-26.411086550703416	30.334044842794917	39.400621086770485	-30.726213203807273	-1.4390091	-1.4228299	1.4230363216996194	1.4192883967608214	1.169203338176012	22017	44034
56111	305	722.9383459091187	9.757379633575551	34.00850181884677	36.90872437083839	44.6411339409765	-47.844747012513835	-0.28621608	-0.26905957	1.2511482503265143	1.2579478580504655	0.6927725454326719	23056	46112
58167	317	751.518739938736	-4.026702423660792	-23.954877298268435	33.431924349013435	38.04549068940113	-35.84133461284634	-1.5417461	-1.5420723	1.2368149972707032	1.2161181335896254	0.5295329028391279	24084	48168
60192	329	780.3602118492126	0.9853422777568944	3.261897258592562	33.07107305332996	35.39041529663139	-33.97001435414401	-0.32617304	-0.3250927	1.4322252257168293	1.3657542324066163	0.24273911638185383	25096	50193
62172	341	806.6036350727081	20.889014941210263	38.415787331399756	31.795453914318056	44.12413449826343	-33.26333679346411	-0.14671366	-0.16462001	1.2704793672263621	1.2614799344539642	-0.2786890498222783	26086	52173
64035	356	831.9603278636932	1.7746183714148913	0.02032490307954049	34.33323374174991	43.59053181847852	-39.10102392343574	1.1633562	1.1841009	0.9330036959052086	0.9485895946621895	-0.9533237379416823	27018	54036
66129	372	861.6004459857941	13.174878535866991	25.64509020343616	28.64356665596511	38.77256788749674	-32.011602508440085	1.0415406	1.0582769	1.2275176279246807	1.1844682136178017	-1.283186288252473	28065	56130
68040	386	888.1355421543121	9.822379345427668	31.1796570173694	34.20393479091919	40.702563360284486	-40.58825077845707	1.6774184	1.6643085	0.8807217454910279	0.8041071594506503	-2.1639251341298222	29020	58041
70022	401	916.9754719734192	2.6207221554920896	-10.559046283465392	28.60691282612757	40.695691591125374	-26.603966573479347	1.4365084	1.4328458	1.6245028561353683	1.5931229834258556	-2.493644929602742	30011	60023
72027	418	945.0696942806244	26.093217390583725	31.209011283154847	19.503055213964327	44.005624478031834	-26.874525311077388	3.2158544	3.2172306	0.7741456389427185	0.7709242190420628	-2.956866120249033	31014	62028
74029	431	970.6656773090363	27.342146145487547	33.259176299526516	19.24092222810508	36.63434432992406	-26.947206111633452	2.5554924	2.5529144	1.301576268672943	1.2885644759237767	-3.3566097593307496	32015	64030
76131	449	999.3989622592926	19.66326628732394	34.21828215345245	29.496679604269612	39.47639889780112	-39.228135056491695	4.3664346	4.395458	1.4019923409819603	1.3837798504531384	-4.071922543644905	33066	66132
