steps	episodes	elapsed	mean	median	stdev	max	min	average_q1	average_q2	average_q_func1_loss	average_q_func2_loss	average_policy_loss	policy_n_updates	q_func_n_updates
2000	10	11.493297100067139	28.72445419650411	29.328298493248568	5.69213776499315	34.942047237369636	18.329301497155182	nan	nan	nan	nan	nan	0	0
4000	20	21.937982082366943	35.07973760263139	36.24353617232632	4.184128858576132	40.952164067933396	28.68029177307334	nan	nan	nan	nan	nan	0	0
6000	30	33.25123929977417	32.80911647235288	31.922406322550763	4.36768102577088	38.98232116469407	27.755208211549675	nan	nan	nan	nan	nan	0	0
8000	40	43.91950488090515	35.04090953619653	33.52343418358299	4.881390981622116	45.79966176220391	30.51132570756451	nan	nan	nan	nan	nan	0	0
10000	50	53.82710289955139	30.128881878888343	31.651839124579674	5.0819861158807536	37.15271310666637	19.12271313241724	-2.7636619	-2.4669425	2.8408925533294678	3.1131060123443604	nan	0	1
12056	71	81.8419258594513	31.4471530795251	31.199560151733536	4.18461011408925	38.016630543437095	23.704037699825715	1.0924857	1.0729576	0.9189574363827705	0.893605404496193	-1.3376851091347635	1028	2057
14005	90	111.2375864982605	17.894268185584565	26.64186057218426	25.105311168967983	39.24457343059201	-32.07308824061469	2.6716557	2.6511066	0.874890779554844	0.8148437306284905	-3.514115709066391	2003	4006
16028	106	140.07227444648743	25.586097069856493	32.253419036052165	23.104898818359374	39.46839574536295	-39.276880521395036	4.9979434	5.025743	1.1465402415394783	1.0379430547356605	-6.012819885015488	3014	6029
18045	122	169.4222960472107	23.324181927004442	30.434623231322288	20.46755210287364	42.98894332184394	-15.239547467817532	6.7104278	6.631606	1.2040390217304229	1.1174648141860961	-6.948899412155152	4023	8046
20116	138	198.93982577323914	30.846957986577543	31.328321227854527	4.331841874143287	36.385535596197215	22.20136696047276	6.229223	6.2680063	1.0911372449994088	1.0403156363964081	-7.54280924320221	5058	10117
22104	156	227.38750290870667	30.112815441161597	29.058831587181835	7.353317082506493	42.183439063524716	16.3691710108752	6.709136	6.6970224	1.267549238204956	1.1120066234469415	-7.746422920227051	6052	12105
