steps	episodes	elapsed	mean	median	stdev	max	min	average_q1	average_q2	average_q_func1_loss	average_q_func2_loss	average_policy_loss	policy_n_updates	q_func_n_updates
2000	10	11.782572507858276	13.427818025020935	22.8076362765791	22.595286351958844	36.761927888000855	-37.194116734022295	nan	nan	nan	nan	nan	0	0
4000	20	23.716835260391235	10.590508704372736	12.912541090262742	17.736381371721926	32.2642803142398	-21.043826477227526	nan	nan	nan	nan	nan	0	0
6000	30	36.31636905670166	5.558472541019122	3.6901014352931867	15.8951542219678	28.439175182729038	-22.466430402873925	nan	nan	nan	nan	nan	0	0
8000	40	49.04251003265381	-0.9463442243784144	3.1919216835558046	26.614551885484474	35.59461744139265	-64.82589338858449	nan	nan	nan	nan	nan	0	0
10000	50	61.543869972229004	12.032428298200847	12.422265400781622	10.305443566331169	30.186322630143728	-4.837110087292935	-11.984408	-12.244641	1.3433582782745361	3.628474235534668	nan	0	1
12066	63	93.25943684577942	9.664853540240413	8.84456518877914	21.821583438779314	47.735491674989326	-19.051040518906685	-7.645216	-7.629158	0.1328002132102847	0.1327731915563345	7.768328218460083	1033	2067
14133	75	123.23132634162903	-0.43122420262990924	8.5261358604624	33.77032713123046	36.386430801080834	-55.5511133421498	-3.1266441	-3.1415422	0.12255946353077889	0.1457011867314577	4.089871221184731	2067	4134
16006	86	152.41221809387207	-38.67142537929019	-39.46860853745571	22.058449864386617	1.4082728370061588	-69.32711273178504	-1.3984712	-1.392273	0.24066972147673368	0.2168731865286827	1.2836500019580126	3003	6007
18001	97	184.26402235031128	-29.21032149888525	-31.585927087561178	35.49056933781418	28.907303413483593	-81.34423186804106	0.31728065	0.3298648	0.1942495397850871	0.20522748704999685	-0.19234056506305933	4001	8002
20001	110	215.06402802467346	-24.45486418188419	-18.46603785463485	41.18590009258611	28.690538050533814	-72.34087866345047	0.060373046	0.049658354	0.35311187721788884	0.37836332246661186	-0.9081345195695758	5001	10002
22081	123	246.00033950805664	-27.7396672171008	-33.82680314363841	32.51427702189987	16.82078080070835	-71.46578743592671	1.5387696	1.5099239	0.42562635205686095	0.4076597897708416	-1.2022393115237355	6041	12082
24058	135	276.9456076622009	-23.710759097115634	-23.15119582917739	23.547728397470824	14.85823875312748	-66.74276941959712	0.5836267	0.57429385	0.5271397782117129	0.5152190101891756	-2.275098532438278	7029	14059
26128	147	308.1093635559082	-10.3947158864042	4.394325686577968	38.664957846436415	22.53228040496001	-80.79082502502887	1.6298465	1.6523639	0.6172518484294415	0.6446052435785532	-2.322804003097117	8064	16129
28128	158	338.1870882511139	-16.6637896407301	-19.800163761970445	28.590883812755372	35.448212563092	-63.42303798826435	1.2210037	1.2059561	0.4501068903505802	0.4780991020053625	-1.9965241868048906	9064	18129
30058	169	368.43842005729675	-24.02527772692486	-36.093628449345715	28.032217732534807	13.015887615912327	-66.84639231003423	2.0228736	2.0367723	0.656476187556982	0.642073222771287	-2.254164332970977	10029	20059
32126	181	399.0102880001068	-21.076005586337917	-30.421014642756578	30.96369703857927	24.89077001711111	-58.478695577803336	2.3354414	2.3336582	0.5908759794384241	0.5611925377696753	-1.8555322396103293	11063	22127
34066	191	427.38391947746277	-17.06793768332319	-18.464238188850626	32.48088403613138	29.72707687699315	-57.72751171030555	2.0404096	2.057486	0.6546349947154522	0.6354510658979415	-1.7874671086482703	12033	24067
36177	203	459.6779854297638	-42.10428345488915	-39.81312203181875	13.800539801629581	-27.08968522076614	-67.19792756974563	1.613534	1.6221023	0.6062152981758118	0.5981233879178762	-1.7150594497472047	13089	26178
38165	214	490.1951813697815	-24.047741399441318	-23.44328975849883	31.365384585522165	21.383232020923426	-61.990100876765176	1.8339014	1.8382486	0.9308369080722332	0.886914220303297	-1.1378984410315751	14083	28166
40093	225	520.1695413589478	-31.554075572356684	-39.98107110446794	30.351117439207737	18.496728101577926	-72.26504053259458	2.2071903	2.1869304	0.7886869858205319	0.7547147727012634	-1.2022948807477951	15047	30094
42095	236	550.4391417503357	-6.892979754990896	-2.4311430683810897	33.145273788314455	37.64116782391483	-68.69445222295121	1.3372496	1.3739822	0.9794605301320553	0.9875626575946808	-0.8920056313602254	16048	32096
44192	248	580.5262358188629	-17.66079697087169	-25.172405931327454	37.04483865354302	30.861218125626593	-65.07300058232848	0.89848804	0.918561	0.9805310645699501	0.981774485707283	-0.8632450946420431	17096	34193
46100	260	608.0118923187256	-13.867412727881103	-7.609095057267784	22.57449398826627	14.574405858572241	-48.17801415341501	0.6807172	0.702439	1.1456163939833641	1.1659933458268643	-0.03961801033932716	18050	36101
48027	273	638.0596826076508	-14.119013393357331	-17.90346371635723	35.25167000433324	46.82532192696518	-66.3010405739536	0.0945542	0.087364346	0.9862690773606301	1.06020011395216	-0.5213100745901466	19014	38028
50090	286	669.5834856033325	-18.77340079248695	-27.005294460224768	31.847307000596132	25.48382002148776	-74.43596908881688	0.021988388	0.0046364823	1.183960060030222	1.1851052841544152	-0.35503417868167164	20045	40091
52039	297	699.4969644546509	-29.95936556979197	-32.40852243318369	29.37417464676693	24.52864246577757	-67.02115300568471	-0.1843474	-0.1666583	1.0580849945545197	1.0770197902619838	-0.021700646547833456	21020	42040
54003	309	728.6818265914917	-16.79200581669219	-27.24688546886984	36.59990436407465	28.515217012280182	-68.37581958516294	-0.12817656	-0.12557523	0.9970391933619976	0.9937800276279449	0.2452958620339632	22002	44004
56003	321	759.2372443675995	-6.318081975897583	5.044757008888453	32.75191961283776	30.790808044787003	-64.07768884498743	-0.3377449	-0.329268	1.1835903771221639	1.2009800747036934	0.03457573708612472	23002	46004
58021	334	790.0819711685181	-10.254223918677049	-5.154561382412998	33.63504942394192	25.396619519871432	-56.11283940305144	-1.1965468	-1.2118635	0.8774798615276813	0.9403505149483681	0.5273540889285505	24011	48022
60168	348	822.3368244171143	-9.204730944282417	1.6806215975864198	36.463577450380654	35.55867574210511	-73.11363569841049	-0.05681546	-0.002900177	1.047693003565073	1.0699880327284337	0.2946315262839198	25084	50169
62078	360	850.0265944004059	5.917546387021799	12.880645508709701	24.48612541639236	31.086059493450833	-50.26732812369863	-0.4356117	-0.40678304	0.8921554361283779	0.8908295519649982	0.1901253017783165	26039	52079
64128	373	879.8665647506714	-7.354671548417766	0.09186941214305477	34.99171313495846	43.33319184401165	-62.2930982746778	0.033482958	0.01152829	0.8976350338757038	0.8917019404470921	0.15113318029791117	27064	54129
66183	385	910.1326234340668	-1.9573358002586179	12.65849051926602	38.37052318558296	39.33572568350881	-66.15429571679837	1.4382483	1.4734262	0.857838442325592	0.867812075316906	0.322359551852569	28092	56184
68184	398	938.6680884361267	0.9677790313282909	10.900947455239585	28.40295738064289	36.93692299162991	-63.24522192099118	-0.7006793	-0.67669886	0.8006637613475323	0.8336628621816635	0.12458525272086263	29092	58185
70107	410	967.2300643920898	-1.0430129305548053	10.883058988279704	29.3289985932665	28.71619982577935	-54.46847935298127	-1.3763294	-1.4140557	0.8983024652302265	0.8565922863781452	0.4270793753489852	30054	60108
72122	422	997.7278323173523	-17.472249874857578	-19.797056354613908	33.30844424752526	24.14307419431828	-75.59082103731028	0.4058979	0.38964567	0.9913591161370278	0.9577454149723053	-0.2664029860822484	31061	62123
74117	435	1026.779684305191	-5.937097864751583	6.475747906010312	39.56225160357922	39.902681411363616	-76.97592959487616	0.045760117	0.01583017	0.8714977204799652	0.8678126864135265	-0.07764509967993945	32059	64118
