steps	episodes	elapsed	mean	median	stdev	max	min	average_q1	average_q2	average_q_func1_loss	average_q_func2_loss	average_policy_loss	policy_n_updates	q_func_n_updates
2000	10	13.705705404281616	21.303104889918778	20.516305159391518	11.35217039541804	36.700270964823474	-2.279127071901108	nan	nan	nan	nan	nan	0	0
4000	20	29.251280069351196	-7.185088254263363	-9.33636299392515	24.037590208379328	24.521620092484763	-38.249818105675615	nan	nan	nan	nan	nan	0	0
6000	30	44.472179889678955	6.161607105794218	12.553683390924292	19.86012498692462	26.520738380248805	-37.38311579992579	nan	nan	nan	nan	nan	0	0
8000	40	59.07907700538635	6.266730134365225	12.40082107421501	20.910349066860284	28.106263843803642	-38.68905105834671	nan	nan	nan	nan	nan	0	0
10000	50	72.33260369300842	23.408252580680063	24.90107558828342	10.93689880851763	40.248101435657674	2.5379648857702506	-12.401012	-12.14862	0.9096086621284485	2.7710015773773193	nan	0	1
12065	64	103.6873881816864	9.28080051699228	16.268413690979084	31.5117896902245	44.50940932777492	-43.029323722336024	-7.794625	-7.813209	0.18349468771368266	0.17297912456095219	8.299400534629822	1033	2066
14033	75	136.06733107566833	-23.83398503170365	-29.274068266869882	25.880351972755022	27.998125103349537	-54.81498114323673	-6.178417	-6.170291	0.23722421936690807	0.2585942780971527	5.785708545446396	2017	4034
16091	88	170.25607109069824	-21.941150253820055	-27.629681443403378	23.239379411904114	24.58654069268442	-45.3185711865337	-2.89141	-2.8887897	0.4805780504643917	0.5117151944339275	3.3153597493236884	3046	6092
18027	100	202.47927165031433	-10.447902740399664	-22.764822718760783	34.70408827259968	37.81007024548931	-63.21711290595229	-1.5983491	-1.5940037	0.577778507322073	0.5719967725127936	1.6765573096042499	4014	8028
20047	113	236.98289608955383	-32.414394223773165	-37.02111173976232	16.111776051989136	0.5483435448357667	-56.37205631496926	-0.75043905	-0.74649656	0.3658925390988588	0.37897378899157047	0.8513384229317308	5024	10048
22028	125	269.69038796424866	-9.081882818413463	-8.609691299810896	36.90423871733779	40.09646137009625	-54.70030232460277	-0.6385203	-0.6332836	0.43003646083176134	0.4364756759256124	0.3741502852365375	6014	12029
24101	139	305.0497579574585	-23.958634014576067	-25.296704797525727	16.814351718901037	14.50571070507224	-48.318083364713424	0.16462699	0.18590105	0.6743601568043232	0.6490407618880272	-0.15666133992373943	7051	14102
26065	151	337.35212993621826	-6.274864500738188	-3.6064105828167605	21.39861262096612	33.39950861619315	-37.29210433624497	0.53822374	0.58148944	0.6166320763528347	0.6397696384787559	-1.0100922046229244	8033	16066
28046	162	370.3686327934265	-4.672960421784374	-1.459651832490172	32.70411987828112	30.30608458229939	-61.50864125953104	0.20517045	0.22413208	0.9097393119335174	0.8865384067595005	-1.053189353197813	9023	18047
30135	175	404.41993975639343	-13.706979022932497	-16.567929911862674	26.044679162199913	33.79312343151619	-54.102145503272354	1.2935463	1.3453789	0.9720308853685856	0.9087829862535	-1.1858006980828941	10068	20136
32030	186	434.91737389564514	-23.293671587022494	-37.86277833470109	32.53395437154096	19.015345097318413	-63.6119186189963	0.8904044	0.8756478	0.7754706399142742	0.7580700597167015	-1.1266694207675756	11015	22031
34013	197	468.49010133743286	-10.261656021778261	-6.781579768682233	34.093574513094964	27.84957897707744	-59.2371038706697	0.6565964	0.6655782	0.7286446165293455	0.7219714558124543	-1.5527784650027752	12007	24014
36178	209	503.8020398616791	4.187529088792104	11.423441703329626	32.84214623317465	30.767441205518523	-56.52042199231677	1.6283368	1.61942	0.8888071890175343	0.8543396596610546	-1.4443481077998876	13089	26179
38011	219	535.9021928310394	-23.43017558451757	-29.267900013609434	29.647064968151042	31.793013172030722	-65.45918933758237	1.4393032	1.477406	0.9600446546077728	0.9017884638905526	-1.3799244955810719	14006	28012
40041	231	569.6620090007782	5.391003030055002	8.55437088260415	24.56416281742174	38.83489908830717	-40.48878385620475	1.2994243	1.3192109	0.9531804409623146	0.9292470642924309	-1.1612646538205444	15021	30042
42118	244	603.8569567203522	-4.1136043385205685	1.6174132133954622	33.00007133430108	34.04995685288105	-50.36742038730056	1.1924145	1.1760867	1.1808174179494382	1.1278727993369102	-1.3752286403253675	16059	32119
44132	257	637.9230706691742	-19.846677863053827	-24.426499735601904	35.003863084453094	25.540540543403033	-62.543536924738525	1.5590458	1.5455676	1.3359167790412902	1.3088233670592309	-0.8942444080905989	17066	34133
46005	269	670.6297025680542	-31.592166934243334	-34.854255275957605	10.173925475574146	-14.128004511578347	-45.03532791404833	1.6183795	1.6433475	1.6118067209422589	1.5092280814051628	-1.2806514911167324	18003	36006
48163	281	704.5475566387177	3.976598233140128	17.56191931532745	36.06805000334536	41.085478194955236	-51.02703251023959	0.046348237	0.031613145	0.9610722124576568	0.9689124138653278	-0.7369556587748229	19082	38164
50066	292	736.6577997207642	3.765496364359675	9.904420226543255	27.64456681637293	32.150166574163435	-55.25824913200238	0.66893005	0.68555313	1.1819295080006123	1.1570326416194439	-0.6172301623597741	20033	40067
52060	304	770.4205219745636	-12.232215810509029	-17.203913511814903	37.56115001741256	38.00279267533328	-57.04650578737131	0.15399536	0.14326961	1.6570265612006188	1.6226762706041336	-0.5707087928801775	21030	42061
54067	317	805.1416752338409	-21.50633888487	-36.361867154859844	33.3904168537083	41.117220756140355	-50.09468557585833	0.6894819	0.70749587	1.4125592982769013	1.3734605966508389	-0.9854597090929746	22034	44068
56184	330	839.1634466648102	3.9747445933626286	12.108096494201625	31.42979981225226	38.19405882278264	-51.38225171538425	0.011101104	0.079164915	1.1649968476593495	1.179983203858137	-0.554937058351934	23092	46185
58045	342	872.1238451004028	-20.98135968514979	-28.078268886937963	33.02525581889043	34.32868277979122	-69.7153125783162	0.7600307	0.7869742	1.1469807907938958	1.0556884202361108	-0.2601391407015035	24023	48046
60109	356	907.0095205307007	-7.869632592722656	-15.01686633015198	37.78688296781995	49.42435888178832	-57.68709503784406	-0.6952948	-0.7247506	1.28697336897254	1.2890172068774701	-0.37657930789515376	25055	50110
62019	368	939.193211555481	-12.00180085466089	-9.875764130447308	26.904176934002074	23.043442470827696	-51.302398416948094	0.9197198	0.9304087	1.0294787423312663	1.0033644139766693	-0.49154995592311024	26010	52020
64102	380	973.792379617691	-3.513917887762541	18.228991877751156	36.513182291269736	30.450576235969976	-59.657564851678615	0.8493012	0.84647256	1.7878628093004227	1.7756506231427194	-0.3172739043273032	27051	54103
66070	391	1010.0503067970276	-7.187167450599479	-4.715559993888004	28.3844186310487	26.37639681743737	-53.68352890550174	0.25828266	0.28912732	1.626082160770893	1.5901953062415124	-0.027983381748199462	28035	56071
68048	403	1049.9414386749268	-23.46389279031801	-24.407100929870655	22.490467386596315	8.210206262204693	-55.2141643530071	-0.3206136	-0.33198822	1.5918308608233929	1.5373471923172475	-0.14123265358852222	29024	58049
70111	416	1086.6473677158356	1.7021878398256045	4.724057180628989	24.09972887841051	33.7250205490259	-30.94960962150169	-0.56114113	-0.6033762	1.410295386016369	1.3999567103385926	0.021875751465559007	30056	60112
72092	429	1121.3814520835876	7.36325507875601	15.52663819127197	27.621310884016367	40.30564347244937	-40.48929519898815	-0.69712204	-0.67116356	1.3459650114178658	1.32171277821064	0.1626483492180705	31046	62093
74169	441	1158.0332567691803	-3.9748615487069734	9.717345642645462	31.339970594613252	26.320344489723226	-58.62570900008933	-1.2788553	-1.3005787	1.4659547370672226	1.4820422065258025	0.4310751062631607	32085	64170
76068	455	1192.5152819156647	1.4669468701315282	3.4993636907790204	25.145289027475847	33.18614852254391	-38.26972950755386	-0.35368922	-0.33922216	1.5118937541544437	1.5345203566551209	-0.1910106761008501	33034	66069
78172	468	1228.3428161144257	-8.714538335381109	1.3969750900045845	32.52259246277798	35.27199711530882	-60.16645711100146	0.24160403	0.21952155	1.5747141495347023	1.4954427133500576	0.2820935221435502	34086	68173
80022	480	1260.9822127819061	1.0383176044278515	14.823450631041645	28.97543374630517	24.18544433964812	-57.59432799932657	-1.24534	-1.2694213	1.721840934753418	1.6913456352055072	0.35143831368535755	35011	70023
82082	492	1296.1366350650787	-1.1311573180641683	8.053311089647892	24.50762961788725	27.08902208383733	-50.489596071101055	-0.368303	-0.38226035	1.104050103276968	1.0948919701576232	0.4058197230286896	36041	72083
84117	505	1335.1472504138947	-18.96665073894406	-17.603031510425367	33.62501434329823	29.771555085877072	-67.66195301485409	-0.4128993	-0.4208059	1.2610888628661632	1.2119797667860985	0.00860367015004158	37059	74118
86128	518	1371.38876247406	-7.503018575349931	-0.1386075816032104	32.84287351140544	38.37149970163494	-58.823901176153925	0.095370404	0.08635167	1.1254868672788143	1.1217872083187104	0.5960091461939737	38064	76129
88053	533	1405.2005279064178	2.757662188278882	13.693549128057025	36.811496517223404	47.04885313721724	-63.67911571594624	0.4756421	0.43906358	1.582389475852251	1.5398321676254272	-0.35540714987553657	39027	78054
90144	547	1442.6700024604797	-3.0963013697048796	10.678465701473726	30.519637829857487	24.789428511737658	-54.359092245675065	-0.03752555	-0.07164567	1.1266397322714328	1.1203044119477272	-0.15184027519077062	40072	80145
92184	560	1479.6370451450348	-15.596334198297532	-15.145775956768473	35.61146032032941	36.37172407913216	-58.91411500105863	-0.74240506	-0.7233657	1.4001082348823548	1.3836596076190473	0.14570458822455293	41092	82185
94186	574	1516.285754442215	-3.6172328846765853	4.825954077379905	31.422082601904506	41.421082726214706	-50.782970926027275	-0.086713426	-0.025952606	1.3212331549823284	1.3147448156774044	-0.10927769467234612	42093	84187
96083	588	1549.5830326080322	14.790180080433153	22.009935962440814	18.517778463375603	38.304979008629566	-21.67203407594514	-0.33444038	-0.34447858	1.2921567749977112	1.2626593008637428	0.15960225930437447	43042	86084
