steps	episodes	elapsed	mean	median	stdev	max	min	average_q1	average_q2	average_q_func1_loss	average_q_func2_loss	average_policy_loss	policy_n_updates	q_func_n_updates
2000	10	13.759876012802124	8.335159419241599	28.09570063313806	35.54730186367682	32.48426461433493	-63.0869045580923	nan	nan	nan	nan	nan	0	0
4000	20	26.188560009002686	21.889470307092353	28.716320131627043	18.478012799134387	35.16015949907697	-27.153602697220855	nan	nan	nan	nan	nan	0	0
6000	30	37.82162070274353	8.061992934272915	24.671376717589645	35.80118777174577	36.68329338377929	-61.353348239940026	nan	nan	nan	nan	nan	0	0
8000	40	49.06797218322754	24.01412962622487	29.80043379320231	18.912353817809787	34.41331600191645	-28.894840084437742	nan	nan	nan	nan	nan	0	0
10000	50	60.849836111068726	16.351242128049954	26.08003070343161	28.424215166998113	41.53580766470296	-45.77775538332691	-5.672956	-5.062457	5.825723171234131	7.317819118499756	nan	0	1
12181	66	93.10065793991089	-3.748620113192401	-23.391684649499723	35.0030826760467	40.88849794962637	-41.27032408311077	-2.709678	-2.7620025	1.238459056019783	1.2363979679346084	1.9949641513079406	1091	2182
14093	80	120.74673914909363	11.657309997540084	27.905154544523544	28.235354470518555	35.003395964596784	-41.07133431507131	-0.45417473	-0.47074288	1.2530751699209213	1.2045255428552628	-0.48865221709012985	2047	4094
16098	93	148.35972237586975	18.616681217947036	26.126886575613977	23.902996845011916	38.135584726931334	-29.449299036282753	1.8396057	1.8625547	1.3586703622341156	1.3133353286981582	-2.051003511622548	3049	6099
18080	106	176.46037077903748	14.628786467701438	24.815352822990732	23.001108157466824	33.94263170710522	-31.91343311146549	1.6129842	1.670261	1.2939045161008835	1.1584859696030616	-2.2913484056293965	4040	8081
20139	119	207.58727741241455	-0.7252612627616927	16.507851802277283	35.70188466351225	34.277024557640296	-61.6194033755788	2.179427	2.1916566	1.5218263900279998	1.3056248664855956	-2.7926597062498333	5070	10140
22063	133	234.71314239501953	21.197296494752806	25.889609359611253	21.27229833150433	38.67795216556013	-37.289385462786406	3.2940838	3.3210413	1.1953262174129486	1.0863743674755098	-3.2719234421849253	6032	12064
24120	148	264.69711112976074	-11.456157277984445	-25.4672796924777	34.17035918210216	30.146661975583665	-47.73300486941837	3.0882578	3.165778	1.6381165826320647	1.5124549210071563	-3.5350579914450644	7060	14121
26079	162	291.3301510810852	16.322557585229912	27.3874578616863	24.35169552091724	32.06025370920193	-32.811653854583355	2.0544195	2.0205288	1.2579113548994065	1.1992769438028335	-3.054162008264102	8040	16080
28183	176	321.723655462265	15.876202598231401	27.155488181987053	24.367033714649697	33.41663854585261	-31.119912463629714	1.2320689	1.2560464	1.677534898519516	1.6308156657218933	-2.338523609775584	9092	18184
30056	189	349.73496437072754	13.24749331626398	27.724720206195677	34.22693549518583	35.62051241321951	-53.27068896376964	0.4138263	0.52657515	1.7347109079360963	1.791231569647789	-1.9129828294739126	10028	20057
32053	203	380.15722012519836	-12.334298317053749	-28.0903865012363	40.74823691102219	41.07030150877581	-60.10574094203829	1.4225521	1.5602117	1.8713722825050354	1.7871550261974334	-1.4844134816154837	11027	22054
34063	216	411.10304141044617	-5.723583399102359	-2.438586952691196	41.548377382279234	39.863132665943624	-56.377685269926914	0.27015573	0.25591612	2.0830535703897475	1.9542736309766768	-0.6700186510570347	12032	24064
36093	230	442.2002582550049	10.664674776255328	25.25907745280145	30.713570234880162	35.34923517676634	-46.936730479830835	-0.657851	-0.5823434	2.232842067480087	2.181559113264084	-0.5524171790620312	13047	26094
38190	245	473.2904212474823	-0.07059818280505929	22.309635256399652	32.77933844294137	29.178221118752806	-54.04108542599409	0.45125538	0.5356514	2.117986341714859	1.9763730567693711	-0.3142304383718874	14095	28191
40014	257	500.3318922519684	24.02841901880809	25.94778596077719	21.162338174464505	40.100226567006914	-32.737781714791296	-0.5585635	-0.5109687	2.109220131635666	2.0211714935302734	0.11919124372303486	15007	30015
42061	272	531.13920545578	-7.348785874250563	-8.255846765968698	38.70385020626597	37.41208351744329	-52.78007093928096	-0.81751835	-0.85764855	2.7556831395626067	2.795836616754532	0.48544356937520206	16031	32062
44001	287	560.7005908489227	11.352008209542854	22.382297570880084	31.02546157922896	37.87877561004437	-48.91659494362695	-0.8722184	-0.8518616	2.799492384195328	2.689752895832062	0.9780843034386635	17001	34002
46142	301	593.374561548233	12.74558736520334	24.30245712814394	26.897258964039256	33.44988062275173	-44.63357562536991	-0.8880667	-0.8708196	2.4900343936681746	2.553339518904686	1.6135986867919565	18071	36143
48015	313	620.3132388591766	29.41691119453931	30.40127153269349	4.86411729119913	34.83373711593183	19.63753880763398	-2.8326454	-2.7653208	2.076195177435875	2.040432830452919	2.4043886728584765	19008	38016
50163	326	652.8253774642944	9.823449705216563	25.088601053251352	26.59179575567776	29.849496189929592	-31.748958700079267	-3.799704	-3.665379	2.3980083310604097	2.2695135641098023	3.0306542596640065	20082	40164
52012	338	681.8786783218384	1.2821247114308665	22.73496632786142	40.930818175534014	37.148952860279145	-64.64730421351227	-3.0604584	-2.911416	2.3265299266576767	2.305177409052849	3.2211491363309324	21006	42013
54021	351	711.8194379806519	19.576207364833103	28.800212680653722	29.206288259055018	34.01355921155887	-62.920297063671555	-3.3270516	-3.3033447	2.183896645307541	2.180227724313736	3.834267032884527	22011	44022
56042	365	739.3465013504028	21.66997087326424	26.378905191160094	26.62183049663278	40.98760838423267	-50.52385608852493	-5.051107	-4.950924	2.3919781655073167	2.222408713698387	4.343364801108837	23021	46043
58095	381	766.4866545200348	11.6857112799218	23.19826838027297	30.354872809662506	35.818447468828836	-50.5391851303421	-5.9312344	-5.9226446	2.3245268827676773	2.1278996908664705	4.576151947379112	24048	48096
60027	394	795.6406354904175	12.976068381896804	31.570626718734626	34.50535017123468	45.52527936933508	-49.57783657789651	-5.9636555	-6.0024676	3.6704568576812746	3.1340901333093645	4.972380666136742	25014	50028
