steps	episodes	elapsed	mean	median	stdev	max	min	average_q1	average_q2	average_q_func1_loss	average_q_func2_loss	average_policy_loss	policy_n_updates	q_func_n_updates
2000	10	11.674019575119019	22.128326981218652	35.666590820481424	34.44817158823451	44.48155835509971	-44.61084190329836	nan	nan	nan	nan	nan	0	0
4000	20	23.279376983642578	24.866459665839628	29.50375502282887	22.870832724485265	45.33236142354496	-36.03550148944337	nan	nan	nan	nan	nan	0	0
6000	30	34.41130781173706	21.221819661201042	32.56293806955583	32.633398975307536	44.384911896331346	-46.45096817658702	nan	nan	nan	nan	nan	0	0
8000	40	46.41359257698059	4.46762987107872	20.778176214395195	33.92406304785842	40.90536760747711	-44.83179182262396	nan	nan	nan	nan	nan	0	0
10000	50	58.4073965549469	8.671238165052552	26.912653382691417	31.729255102906496	41.27727538550955	-37.145460140308046	12.249351	12.281173	0.30701541900634766	0.32442614436149597	nan	0	1
12133	64	91.61898756027222	11.905185694707427	17.272451518051135	24.06922546946067	43.51954258403254	-19.32155419678436	14.240615	14.243617	0.24600212320685386	0.2500944139435887	-14.314261121749878	1067	2134
14166	78	122.44797468185425	21.46735378870643	31.155807129862378	29.29648448112759	43.18946076721931	-46.740839953749436	15.924772	15.9280205	0.21137680668383838	0.21072759997099638	-15.914706563949585	2083	4167
16122	93	152.94321823120117	17.18144828341479	26.196243651921257	24.254475337858587	45.27163878401511	-24.959970821400834	16.310678	16.320572	0.3389106509461999	0.33720582026988266	-16.40657522201538	3061	6123
18073	105	181.69045448303223	35.35739243186985	37.13101122145504	6.513195272816849	42.668169109261605	25.681445286514876	16.401129	16.392363	0.5379340656101703	0.5384853080287576	-16.79336983680725	4037	8074
20030	118	211.1577923297882	18.22608139437468	25.33405546885276	27.24992041148256	44.543394067004705	-31.645029963579724	16.634867	16.640596	0.6160958537459373	0.6101589107513428	-17.202205085754393	5015	10031
22019	134	240.80354022979736	25.582818895323626	28.429284933120847	21.471060394963573	42.613155932142035	-32.491270407182625	16.853945	16.857874	0.6174665704369545	0.644777517542243	-17.349929418563843	6010	12020
24008	151	269.07746386528015	27.37113639807983	30.305135583211204	20.087558639668526	43.8748874614505	-26.50702733950072	17.03917	17.041142	0.569905059710145	0.571584764868021	-17.553670597076415	7004	14009
26005	170	298.42407989501953	23.06585321697846	33.40284089909053	23.801999164190683	42.13608516229733	-26.72350448462473	17.712395	17.718067	0.936064847111702	0.9483828235417604	-18.198468570709228	8003	16006
28002	188	326.42387771606445	34.76314306442882	34.70801728435401	5.500471525355845	42.20748525488064	24.380924884481797	18.11702	18.0894	1.1904657807946206	1.1782252287119628	-18.203482027053834	9001	18003
30151	208	359.5419602394104	17.999446096701377	36.86678660302936	33.0821132878067	45.52580733570451	-34.17821339920937	17.689583	17.697449	1.0238851746171713	1.0325697511434555	-18.579848461151123	10076	20152
32169	227	388.86418890953064	16.75570205695852	28.95818958186408	28.92110128216602	42.99142655838399	-37.339081684060325	18.772024	18.733862	1.2844963856041431	1.2728260323405265	-18.66071840286255	11085	22170
34075	245	418.55707025527954	9.436710897843433	18.99767058392151	24.493477536475215	38.63042734262709	-25.347396031820715	18.8097	18.803055	1.4362455315887928	1.4056465597450734	-18.7860516166687	12038	24076
36071	261	446.90195393562317	12.492600261984332	31.659122658411526	31.584836508915757	46.434782939355664	-29.609255313845722	18.48333	18.50722	1.2027821636199951	1.2078555892407894	-18.500078229904176	13036	26072
38138	279	478.6059989929199	27.79624615543137	31.565654527256008	13.368416640191793	40.996121741420254	-5.917813840532275	19.206448	19.218023	0.9796728236228227	0.9748615667968988	-18.622092151641844	14069	28139
40161	295	508.9662342071533	19.266259750686842	29.528546492321137	28.396480561984728	46.86063895083507	-27.07009200393023	19.177992	19.150621	1.5170205046236516	1.4604442358016967	-19.0668660736084	15081	30162
42055	313	536.1818182468414	18.87419626710831	26.878175270994895	21.567528773074223	41.22696261185992	-19.497393782822655	19.129723	19.139637	1.4958850421011447	1.4795425958931445	-19.017175836563112	16028	32056
